x;y
-87.62773949;41.87395806
-87.65268082;41.93250008
-87.651073;41.858086
-87.656471;41.856453
-87.672516;41.910329
-87.67273;41.90332
-87.660996;41.869417
-87.65349723;41.90959193
-87.65478743;41.87772613
-87.6554864;41.8694821
-87.637715;41.902924
-87.62062;41.89186
-87.62351;41.89766
-87.6173;41.89102
-87.6435;41.91021
-87.64332;41.91468
-87.6626;41.90068
-87.6677;41.899643
-87.63563839;41.89680204
-87.65703;41.87464
-87.627844;41.877181
-87.63442878;41.92675599
-87.6122;41.891071
-87.63532114;41.87770796
-87.62979104;41.87935636
-87.62533709;41.85323876
-87.62464914;41.88389277
-87.62773357;41.8847302
-87.62443336;41.8760656
-87.63443007;41.89993001
-87.6277;41.88918
-87.642884;41.897764
-87.62952092;41.88131982
-87.63058454;41.87593267
-87.63188991;41.88457623
-87.624117;41.886024
-87.634195;41.893832
-87.65406127;41.89636246
-87.646611;41.865861
-87.64444785;41.88871604
-87.64108796;41.86711778
-87.668879;41.916017
-87.625961;41.867227
-87.64942193;41.91057803
-87.672552;41.907655
-87.61883465;41.85137517
-87.64138231;41.88583274
-87.65370804;41.92560188
-87.640795;41.875885
-87.67769193;41.90939601
-87.65230486;41.88548331
-87.62772919;41.86012138
-87.642746;41.880422
-87.64185116;41.89384315
-87.640001;41.878149
-87.616743;41.880958
-87.64127743;41.8815824
-87.654752;41.881487
-87.629892;41.884451
-87.645925;41.891
-87.62377664;41.90096039
-87.66098386;41.89637337
-87.65840426;41.92556258
-87.655688;41.88397
-87.62408432;41.8810317
-87.64117;41.88338
-87.653449;41.894556
-87.652855;41.913688
-87.636282;41.918306
-87.617759;41.865212
-87.63253;41.882664
-87.614492;41.89257
-87.63639;41.888243
-87.628722;41.897448
-87.64664;41.87184
-87.650019;41.874675
-87.628623;41.893975
-87.638437;41.894666
-87.648684;41.884078
-87.65222;41.91844
-87.65445;41.94688
-87.653566;41.936253
-87.687051;41.915533
-87.65304;41.94018
-87.638618;41.910579
-87.66732;41.88541
-87.631937;41.854564
-87.590368;41.802562
-87.67328;41.87501
-87.697153;41.922695
-87.675726;41.855048
-87.631942;41.911974
-87.64926;41.925905
-87.67722;41.895769
-87.661535;41.857556
-87.67695;41.90331
-87.668385;41.939365
-87.631715;41.849237
-87.649633;41.877749
-87.64665;41.85378
-87.656959;41.865054
-87.651062;41.862378
-87.6405;41.904509
-87.629928;41.899007
-87.6346;41.915689
-87.638888;41.922167
-87.64401;41.92175
-87.662007;41.877945
-87.62248;41.8457
-87.625813;41.834734
-87.61793;41.8349
-87.608218;41.838556
-87.658617;41.932225
-87.663576;41.935733
-87.66378;41.93949
-87.64753866;41.93649682
-87.636794;41.936669
-87.681391;41.912616
-87.685854;41.907781
-87.689556;41.910535
-87.67842;41.93588
-87.677856;41.931931
-87.6355;41.885837
-87.659172;41.95078
-87.668507;41.92883
-87.67564;41.8492
-87.623727;41.864059
-87.639566;41.874337
-87.640826;41.85795
-87.654127;41.855136
-87.621743;41.89691
-87.639833;41.882091
-87.633523;41.872373
-87.631253;41.903233
-87.630834;41.926277
-87.627542;41.856594
-87.61615;41.82256
-87.63206;41.890749
-87.677234;41.899714
-87.62688;41.83104
-87.691392;41.917741
-87.658751;41.891795
-87.6658;41.92533
-87.66317;41.92888
-87.63947;41.8807
-87.639904;41.879255
-87.626938;41.841707
-87.62603;41.886875
-87.619521;41.884728
-87.622105;41.890252
-87.625125;41.882134
-87.6478;41.88175
-87.626937;41.891738
-87.616279;41.809851
-87.6216;41.82168
-87.646277;41.857499
-87.685243;41.85394
-87.618691;41.794853
-87.668745;41.857901
-87.646795;41.847203
-87.645368;41.84358
-87.665897;41.85381
-87.640591;41.849527
-87.667747;41.90345
-87.622663;41.894448
-87.634262;41.889933
-87.68229;41.910153
-87.67686;41.89122
-87.67493;41.88137
-87.697474;41.903029
-87.656001;41.886773
-87.633879;41.856802
-87.677411;41.916027
-87.642385;41.93262
-87.693033;41.920195
-87.656936;41.918216
-87.64884;41.913778
-87.64883;41.919936
-87.658865;41.939743
-87.66394;41.94815
-87.6785;41.9406
-87.66402;41.943739
-87.67097;41.94334
-87.65464;41.96167
-87.646303;41.949275
-87.651148;41.883004
-87.666036;41.961588
-87.638517;41.907576
-87.617;41.842052
-87.674365;41.961615
-87.688487;41.966555
-87.654406;41.954245
-87.65103;41.871737
-87.679028;41.967094
-87.684146;41.962391
-87.67393;41.95469
-87.649603;41.961004
-87.668869;41.956061
-87.580715;41.795212
-87.596471;41.795264
-87.638181;41.963982
-87.669807;41.936083
-87.650001;41.967968
-87.599383;41.809835
-87.658857;41.968873
-87.648043;41.954383
-87.623041;41.867888
-87.649993;41.952833
-87.675112;41.94911
-87.685126;41.930584
-87.69723;41.91855
-87.707857;41.929567
-87.669886;41.871514
-87.645801;41.827071
-87.613533;41.836208
-87.62232;41.886835
-87.6071;41.822985
-87.591875;41.809443
-87.626804;41.911722
-87.606582;41.816499
-87.621857;41.838842
-87.623633;41.857937
-87.656625;41.861267
-87.666507;41.865234
-87.6972;41.91044
-87.666611;41.891072
-87.64129;41.830629
-87.647172;41.830661
-87.65114;41.8378
-87.685109;41.84847
-87.64693;41.86458
-87.631985;41.87817
-87.62408;41.87785
-87.67203;41.89113
-87.634793;41.878724
-87.635177;41.881469
-87.64368;41.91797
-87.634664;41.912202
-87.707322;41.921525
-87.63483;41.906724
-87.664199;41.957081
-87.657238;41.965485
-87.659753;41.978353
-87.659637;41.972972
-87.645451;41.940106
-87.671387;41.961507
-87.679259;41.955927
-87.64895;41.94367
-87.644095;41.937725
-87.631501;41.907993
-87.653833;41.928712
-87.64598;41.945512
-87.649626;41.949375
-87.687275;41.902893
-87.65423;41.9584
-87.663095;41.920445
-87.679618;41.943403
-87.682437;41.917805
-87.677855;41.920082
-87.684001;41.968885
-87.649519;41.957879
-87.638973;41.925858
-87.673567;41.957921
-87.682779;41.906717
-87.679258;41.96325
-87.671045;41.869154
-87.664358;41.954177
-87.665939;41.932595
-87.661501;41.872187
-87.626106;41.871962
-87.594747;41.799568
-87.654691;41.969517
-87.638742;41.93132
-87.668365;41.973385
-87.667429;41.967096
-87.653714;41.921687
-87.601334;41.788746
-87.63625;41.932684
-87.673308;41.946176
-87.648568;41.90854
-87.648747;41.933341
-87.667252;41.907066
-87.639192;41.940775
-87.618034;41.831379
-87.606755;41.809855
-87.630931;41.896544
-87.619407;41.857611
-87.645143;41.838198
-87.643118;41.929546
-87.607267;41.866095
-87.673688;41.871262
-87.658971;41.928887
-87.674237;41.96909
-87.587782;41.793242
-87.661206;41.88283
-87.6687;41.950687
-87.695445;41.854016
-87.649077;41.929143
-87.667747;41.895966
-87.606615;41.803038
